state,x,y
Andhra Pradesh,-40,-250
Arunachal Pradesh,350,200
Assam,290,125
Bihar,100,90
Chhattisgarh,20,-30
Goa,-280,-235
Gujarat,-290,10
Haryana,-160,190
Himachal Pradesh,-70,285
Jharkhand,90,30
Karnataka,-190,-260
Kerala,-215,-380
Madhya Pradesh,-110,10
Maharashtra,-200,-110
Manipur,370,75
Meghalaya,270,95
Mizoram,370,30
Nagaland,410,120
Odisha,80,-60
Punjab,-190,255
Rajasthan,-225,115
Sikkim,185,180
Tamilnadu,0,-370
Telangana,-80,-150
Tripura,230,60
Uttar Pradesh,-15,120
Uttarakhand,-50,230
West Bengal,215,-5